station_id,station_display_name,station_name,state,municipality,status,lat,lon,altitude_m,tipo_clima_didactico,color_clima,descripcion_corta,explicacion_clima,mensaje_para_ninos,temperatura_media_anual,temperatura_maxima_promedio,temperatura_minima_promedio,precipitacion_anual_promedio,source_file,period_demo,months_total,months_temp_valid,months_prec_valid,coverage_temp,coverage_prec,demo_note
15062,"Nevado De Toluca, México",NEVADO DE TOLUCA,MÉXICO,ZINACANTEPEC,OPERANDO,19.11861111,-99.78138889,4283.0,Frío,#5671B2,Lugar frío,Esta estación representa un lugar donde la temperatura se mantiene baja durante gran parte del año.,Aquí hace frío durante muchos meses.,5.961809869294399,12.40534503901672,-0.4817253004279205,1159.3579999999997,15062.txt,2015-2024,119,119,119,0.9916666666666667,0.9916666666666667,Dataset preparado para demostración; no usar como base climatológica oficial.
10048,"Navios Viejos, Durango",NAVIOS VIEJOS,DURANGO,DURANGO,OPERANDO,23.83444444,-105.0416667,2581.0,Semifrío,#5AC0DE,Lugar alto y fresco,Esta estación representa un lugar donde la temperatura suele ser baja o fresca durante buena parte del año.,Aquí hace más frío porque es una zona alta o fresca.,12.179569680856863,22.99647732203579,1.362662039677937,898.2560000000001,10048.txt,2015-2024,120,120,120,1.0,1.0,Dataset preparado para demostración; no usar como base climatológica oficial.
1008,"Puerto De La Concepcion, Aguascalientes",PUERTO DE LA CONCEPCION,AGUASCALIENTES,TEPEZALÁ,OPERANDO,22.20277778,-102.135,2322.8,Árido,#F3EE82,Lugar seco y caluroso,"Esta estación representa un clima seco, con poca lluvia y temperaturas generalmente altas.",Aquí llueve poco y puede hacer mucho calor.,17.916493251491467,24.917122512177947,10.91586399080499,527.9069999999999,1008.txt,2015-2024,120,120,120,1.0,1.0,Dataset preparado para demostración; no usar como base climatológica oficial.
2034,"Mexicali (Smn), Baja California",MEXICALI (SMN),BAJA CALIFORNIA,MEXICALI,OPERANDO,32.55,-115.4666667,3.0,Muy árido,#C9A646,Lugar muy seco,Esta estación representa un lugar donde llueve muy poco durante el año.,Aquí casi no llueve. Es un lugar muy seco.,25.61932265127037,33.521636582534384,17.717008720006355,57.998000000000005,2034.txt,2015-2024,120,120,120,1.0,1.0,Dataset preparado para demostración; no usar como base climatológica oficial.
11070,"Santa Julia, Guanajuato",SANTA JULIA,GUANAJUATO,GUANAJUATO,OPERANDO,21.07222222,-101.1961111,2552.0,Semiárido,#ECEB38,Lugar con poca lluvia,"Esta estación representa un lugar donde llueve poco, pero no tan poco como en un desierto.","Aquí a veces llueve, pero no demasiado.",19.14005421257305,28.15205482944012,10.128053595705987,687.7299999999999,11070.txt,2015-2024,120,120,120,1.0,1.0,Dataset preparado para demostración; no usar como base climatológica oficial.
4024,"Palizada, Campeche",PALIZADA,CAMPECHE,PALIZADA,OPERANDO,18.25305556,-92.09194444,4.0,Cálido húmedo,#FF8746,Lugar cálido y lluvioso,Esta estación representa un lugar donde hace calor y llueve mucho durante el año.,Aquí hace calor y llueve mucho.,27.39995207263859,33.22492298068565,21.57498116459153,1639.1290000000001,4024.txt,2015-2024,120,120,120,1.0,1.0,Dataset preparado para demostración; no usar como base climatológica oficial.
31097,"Merida (Conagua), Yucatán",MERIDA (CONAGUA),YUCATÁN,MÉRIDA,OPERANDO,20.98416667,-89.65805556,10.0,Cálido subhúmedo,#F49A45,Lugar cálido con temporada de lluvias,Esta estación representa un lugar cálido donde hay meses con más lluvia y meses más secos.,Aquí hace calor y hay una temporada donde llueve más.,27.233587510152372,33.387371669579956,21.07980335072479,1074.434,31097.txt,2015-2024,120,120,120,1.0,1.0,Dataset preparado para demostración; no usar como base climatológica oficial.
